"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   2.04382E+03,   4.00000E-01,   9.41839E+02,   1.47159E+00,   0.00000E+00,   5.04141E-23,   1.18565E-01,   7.55841E-01,   5.33258E-02,   5.43113E-02,   2.97831E-04,   1.80415E-03,   6.17009E-05,   6.34249E-03,   7.71716E-06
   1.00000E+01,   2.04998E+03,   4.00000E-01,   9.41839E+02,   1.42006E+00,   0.00000E+00,   5.92759E-23,   1.18718E-01,   7.56108E-01,   5.37744E-02,   5.45337E-02,   9.92623E-05,   1.04850E-03,   2.05568E-05,   6.45120E-03,   2.45952E-05
   4.00000E+01,   2.05191E+03,   4.00000E-01,   9.41839E+02,   1.40490E+00,   0.00000E+00,   6.23994E-23,   1.18763E-01,   7.56188E-01,   5.39419E-02,   5.45905E-02,   5.04404E-05,   7.49236E-04,   1.04525E-05,   6.48541E-03,   4.93090E-05
   1.00000E+00,   2.37408E+03,   6.00000E-01,   9.81849E+02,   2.01816E+00,   0.00000E+00,   2.74981E-19,   7.48822E-02,   7.39637E-01,   7.53104E-02,   7.52336E-02,   5.00564E-03,   7.11249E-03,   8.59696E-04,   1.05385E-02,   6.48675E-06
   1.00000E+01,   2.41632E+03,   6.00000E-01,   9.81849E+02,   1.70642E+00,   0.00000E+00,   6.37350E-19,   7.41545E-02,   7.41586E-01,   7.74514E-02,   7.83799E-02,   2.11579E-03,   4.66371E-03,   3.51131E-04,   1.13858E-02,   2.10122E-05
   4.00000E+01,   2.43094E+03,   6.00000E-01,   9.81849E+02,   1.60494E+00,   0.00000E+00,   8.47588E-19,   7.39769E-02,   7.42243E-01,   7.83203E-02,   7.94189E-02,   1.16551E-03,   3.47711E-03,   1.91659E-04,   1.16925E-02,   4.24063E-05
   1.00000E+00,   2.57164E+03,   8.00000E-01,   1.02083E+03,   2.96634E+00,   0.00000E+00,   3.61304E-17,   4.13466E-02,   7.19595E-01,   9.25610E-02,   8.24720E-02,   2.15707E-02,   1.26832E-02,   3.78818E-03,   1.10194E-02,   4.07784E-06
   1.00000E+01,   2.67579E+03,   8.00000E-01,   1.02083E+03,   2.33753E+00,   0.00000E+00,   2.41923E-16,   3.74152E-02,   7.24764E-01,   9.73367E-02,   9.17359E-02,   1.31498E-02,   9.54734E-03,   2.09446E-03,   1.24200E-02,   1.25318E-05
   4.00000E+01,   2.72425E+03,   8.00000E-01,   1.02083E+03,   2.05991E+00,   0.00000E+00,   5.71612E-16,   3.54829E-02,   7.27189E-01,   9.96113E-02,   9.64404E-02,   8.83828E-03,   7.65947E-03,   1.34605E-03,   1.30313E-02,   2.45316E-05
   1.00000E+00,   2.67393E+03,   1.00000E+00,   1.05883E+03,   3.66489E+00,   0.00000E+00,   8.42524E-16,   1.97662E-02,   6.97158E-01,   1.05610E-01,   7.77100E-02,   4.80508E-02,   1.50019E-02,   9.80955E-03,   8.82856E-03,   2.05092E-06
