"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   2.09689E+03,   4.00000E-01,   9.84309E+02,   1.64069E+00,   0.00000E+00,   8.38846E-24,   1.11341E-01,   7.16070E-01,   1.52220E-01,   2.91448E-04,   2.49345E-06,   3.81164E-03,   2.64310E-04,   6.85541E-03,   7.44157E-06
   1.00000E+01,   2.10645E+03,   4.00000E-01,   9.84309E+02,   1.56586E+00,   0.00000E+00,   1.05023E-23,   1.11752E-01,   7.16453E-01,   1.53299E-01,   2.93287E-04,   8.51305E-07,   2.24493E-03,   8.97036E-05,   7.03541E-03,   2.38482E-05
   4.00000E+01,   2.10973E+03,   4.00000E-01,   9.84309E+02,   1.54188E+00,   0.00000E+00,   1.13373E-23,   1.11892E-01,   7.16579E-01,   1.53696E-01,   2.93771E-04,   4.36706E-07,   1.61278E-03,   4.59541E-05,   7.09782E-03,   4.79134E-05
   1.00000E+00,   2.41550E+03,   6.00000E-01,   1.04610E+03,   2.25004E+00,   0.00000E+00,   1.94343E-20,   6.60837E-02,   6.83742E-01,   2.11447E-01,   2.58199E-04,   2.32394E-05,   1.32780E-02,   3.19757E-03,   1.03048E-02,   5.68231E-06
   1.00000E+01,   2.45937E+03,   6.00000E-01,   1.04610E+03,   1.91748E+00,   0.00000E+00,   4.39165E-20,   6.65731E-02,   6.85616E-01,   2.16742E-01,   2.72526E-04,   9.87121E-06,   8.73243E-03,   1.29139E-03,   1.12320E-02,   1.87289E-05
   4.00000E+01,   2.47505E+03,   6.00000E-01,   1.04610E+03,   1.81238E+00,   0.00000E+00,   5.80989E-20,   6.68954E-02,   6.86251E-01,   2.18765E-01,   2.77278E-04,   5.45592E-06,   6.52727E-03,   7.02899E-04,   1.15876E-02,   3.80891E-05
   1.00000E+00,   2.61598E+03,   8.00000E-01,   1.10718E+03,   3.32415E+00,   0.00000E+00,   2.16636E-18,   3.11277E-02,   6.51300E-01,   2.53479E-01,   1.94991E-04,   7.30863E-05,   2.21975E-02,   1.45983E-02,   9.77845E-03,   3.00798E-06
   1.00000E+01,   2.71944E+03,   8.00000E-01,   1.10718E+03,   2.52258E+00,   0.00000E+00,   1.34376E-17,   2.90608E-02,   6.56225E-01,   2.67046E-01,   2.25635E-04,   4.47304E-05,   1.66628E-02,   7.81951E-03,   1.11235E-02,   9.51515E-06
   4.00000E+01,   2.76287E+03,   8.00000E-01,   1.10718E+03,   2.22707E+00,   0.00000E+00,   2.79721E-17,   2.84089E-02,   6.58250E-01,   2.73213E-01,   2.41972E-04,   2.93498E-05,   1.32443E-02,   4.82001E-03,   1.17354E-02,   1.91241E-05
   1.00000E+00,   2.71467E+03,   1.00000E+00,   1.16757E+03,   4.46283E+00,   0.00000E+00,   4.85304E-17,   1.15666E-02,   6.18400E-01,   2.76064E-01,   1.28765E-04,   1.25255E-04,   2.36339E-02,   3.97336E-02,   6.76433E-03,   1.15920E-06
   1.00000E+01,   2.86622E+03,   1.00000E+00,   1.16757E+03,   3.35879E+00,   0.00000E+00,   1.03739E-15,   7.58324E-03,   6.26206E-01,   2.95971E-01,   1.49419E-04,   1.07803E-04,   1.80094E-02,   3.00152E-02,   6.82237E-03,   2.64112E-06
   4.00000E+01,   2.94306E+03,   1.00000E+00,   1.16757E+03,   2.89694E+00,   0.00000E+00,   5.73943E-15,   5.52447E-03,   6.30353E-01,   3.07127E-01,   1.64853E-04,   9.39888E-05,   1.42772E-02,   2.40455E-02,   6.45471E-03,   4.02448E-06
