"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   1.62376E+03,   4.00000E-01,   3.62008E+02,   1.31735E+00,   0.00000E+00,   2.22348E-28,   1.21422E-01,   7.58790E-01,   5.42593E-02,   5.46462E-02,   4.24729E-06,   1.58473E-04,   1.35883E-06,   1.59711E-03,   4.62366E-06
   1.00000E+01,   1.62410E+03,   4.00000E-01,   3.62008E+02,   1.31370E+00,   0.00000E+00,   2.25447E-28,   1.21431E-01,   7.58804E-01,   5.42961E-02,   5.46506E-02,   1.34903E-06,   8.93711E-05,   4.31655E-07,   1.59946E-03,   1.46305E-05
   4.00000E+01,   1.62421E+03,   4.00000E-01,   3.62008E+02,   1.31248E+00,   0.00000E+00,   2.26504E-28,   1.21424E-01,   7.58807E-01,   5.43099E-02,   5.46521E-02,   6.75494E-07,   6.32527E-05,   2.16158E-07,   1.60014E-03,   2.92644E-05
   1.00000E+00,   2.02834E+03,   6.00000E-01,   3.89659E+02,   1.50736E+00,   0.00000E+00,   2.66765E-22,   7.76170E-02,   7.46334E-01,   7.93178E-02,   8.01767E-02,   4.79697E-04,   1.84144E-03,   1.01320E-04,   4.89406E-03,   4.93984E-06
   1.00000E+01,   2.03510E+03,   6.00000E-01,   3.89659E+02,   1.44706E+00,   0.00000E+00,   3.17984E-22,   7.76697E-02,   7.46642E-01,   7.98156E-02,   8.05343E-02,   1.60884E-04,   1.07234E-03,   3.38665E-05,   4.98577E-03,   1.57458E-05
   4.00000E+01,   2.03720E+03,   6.00000E-01,   3.89659E+02,   1.42959E+00,   0.00000E+00,   3.35757E-22,   7.76967E-02,   7.46734E-01,   7.99976E-02,   8.06258E-02,   8.18902E-05,   7.66642E-04,   1.72303E-05,   5.01476E-03,   3.15733E-05
   1.00000E+00,   2.33165E+03,   8.00000E-01,   4.16601E+02,   2.11627E+00,   0.00000E+00,   1.16230E-18,   3.81845E-02,   7.31229E-01,   1.00637E-01,   9.83123E-02,   7.10241E-03,   5.99302E-03,   1.27568E-03,   6.87826E-03,   3.17983E-06
   1.00000E+01,   2.37728E+03,   8.00000E-01,   4.16601E+02,   1.76294E+00,   0.00000E+00,   3.11586E-18,   3.65060E-02,   7.33517E-01,   1.02906E-01,   1.02628E-01,   3.15137E-03,   3.94971E-03,   5.41251E-04,   7.37352E-03,   9.98379E-06
   4.00000E+01,   2.39352E+03,   8.00000E-01,   4.16601E+02,   1.64137E+00,   0.00000E+00,   4.38532E-18,   3.59778E-02,   7.34321E-01,   1.03805E-01,   1.04138E-01,   1.77057E-03,   2.95302E-03,   2.99807E-04,   7.55732E-03,   1.99389E-05
   1.00000E+00,   2.48738E+03,   1.00000E+00,   4.42860E+02,   2.95155E+00,   0.00000E+00,   1.95523E-16,   1.27887E-02,   7.11187E-01,   1.16865E-01,   9.81159E-02,   2.98409E-02,   8.24560E-03,   5.77103E-03,   5.27239E-03,   1.18252E-06
